title,genres
Black Hawk Down,History
Saving Private Ryan,Drama
Saving Private Ryan,War
Sleepless in Seattle,Comedy
Sleepless in Seattle,Drama
Sleepless in Seattle,Romance
Dangerous Liaisons,Drama
Dangerous Liaisons,Romance
The Running Man,Action
The Running Man,Sci-Fi
The Running Man,Thriller
Tsotsi,Crime
Tsotsi,Drama
The Color Purple,Drama
A Man for All Seasons,Biography
A Man for All Seasons,Drama
A Man for All Seasons,History
All the President's Men,Drama
All the President's Men,History
All the President's Men,Thriller
Cinderella Man,Biography
Cinderella Man,Drama
Cinderella Man,Romance
Dawn of the Dead,Action
Dawn of the Dead,Horror
Godzilla,Action
Godzilla,Sci-Fi
Godzilla,Thriller
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War
Lawrence of Arabia,Adventure
Lawrence of Arabia,Biography
Lawrence of Arabia,Drama
Halloween,Horror
Halloween,Thriller
Kindergarten Cop,Action
Kindergarten Cop,Comedy
Kindergarten Cop,Crime
Mission: Impossible,Action
Mission: Impossible,Adventure
Mission: Impossible,Thriller
Mission: Impossible II,Action
Mission: Impossible II,Adventure
Mission: Impossible II,Thriller
Mission: Impossible III,Action
Mission: Impossible III,Adventure
Mission: Impossible III,Thriller
Seven Years in Tibet,Adventure
Seven Years in Tibet,Biography
Seven Years in Tibet,Drama
Irreversible,Crime
Irreversible,Drama
Irreversible,Mystery
Whale Rider,Drama
Whale Rider,Family
Point Break,Action
Point Break,Crime
Point Break,Thriller
The Thirteenth Floor,Mystery
The Thirteenth Floor,Sci-Fi
The Thirteenth Floor,Thriller
The Prestige,Drama
The Prestige,Mystery
The Prestige,Sci-Fi
Dreamgirls,Drama
Dreamgirls,Music
Dreamgirls,Musical
Babel,Drama
The Queen,Biography
The Queen,Drama
The Remains of the Day,Drama
The Remains of the Day,Romance
Hannibal Rising,Adventure
Hannibal Rising,Crime
Hannibal Rising,Drama
Ghost Rider,Action
Ghost Rider,Fantasy
Ghost Rider,Thriller
